Task name,Assignee,Due,GitHub Pull Requests,Parent-task,Priority,Project,Sprint,Status,Sub-tasks,Summary,Tags,Task ID
Develop Marketing Funnels for New Initiatives,,,,,,"Collective (Collective%20cd286ab071814e479a72a3df3963214a.md), Social Media / Marketing (Social%20Media%20Marketing%20bcbc70ac10a648b8952b0aa9987f153c.md)",,Not started,,No content,,TAS-11
External Collaboration with other practitioners to offer events at Inner Ascend and bring their clients,,,,,,Social Media / Marketing (Social%20Media%20Marketing%20bcbc70ac10a648b8952b0aa9987f153c.md),,Not started,,No content,,TAS-17
Facebook & Instagram Ads,,,,,,Social Media / Marketing (Social%20Media%20Marketing%20bcbc70ac10a648b8952b0aa9987f153c.md),,Not started,,No content,,TAS-21
Define our Instagram Look in words,,,,,,Social Media / Marketing (Social%20Media%20Marketing%20bcbc70ac10a648b8952b0aa9987f153c.md),,Not started,,No content,,TAS-23
