Task name,Assignee,Due,GitHub Pull Requests,Parent-task,Priority,Project,Sprint,Status,Sub-tasks,Summary,Tags,Task ID
Promote Inner Ascend on Facebook Groups,,,,,,Membership (Membership%207c9358cb44ee43f5b8e8dc74cac4bcf8.md),,Not started,,No content,,TAS-9
Design Flyer for Inner Ascend Promotion,,,,,,Membership (Membership%207c9358cb44ee43f5b8e8dc74cac4bcf8.md),,Not started,,No content,,TAS-10
Develop Target Audience to the point of seeing who is this for and Why,,,,,,Membership (Membership%207c9358cb44ee43f5b8e8dc74cac4bcf8.md),,Not started,,No content,,TAS-16
