Reviewed,Name,Additional resource,Created
No,Step 1: Define and Assess (2 mins),https://blog.rescuetime.com/digital-minimalism/,"December 4, 2023 12:07 AM"
No,Step 2: Apps (General),https://atozenlife.com/how-to-organize-apps-iphone/,"December 4, 2023 12:07 AM"
No,Step 3: YouTube,https://gamequitters.com/youtube-addiction/,"December 4, 2023 12:07 AM"
No,Step 4: Instagram,https://tech.hindustantimes.com/tech/news/bored-of-your-instagram-explore-feed-here-s-how-you-can-change-reset-it-71625830033207.html,"December 4, 2023 12:07 AM"
No,Step 5: Twitter (X),https://susannagebauer.com/blog/what-are-twitter-lists/,"December 4, 2023 12:07 AM"
No,Step 6: Email,https://emailanalytics.com/clean-up-gmail/,"December 4, 2023 12:07 AM"
No,Step 7: Snapchat/TikTok,,"December 4, 2023 12:07 AM"
No,BONUS: Phone Games,,"December 4, 2023 12:07 AM"
